JournalNameInData,StandardJournalName,Publisher,ChiefEditor,PrintISSN,ElectronicISSN,ImpactFactor
Acta Obstetricia et Gynecologica Scandinavica,Acta Orthopaedica,Taylor and Francis ,Anders Rydholm Lund,1745-3674,1745-3682,3.217
Acta Orthop,Acta Oto-Laryngologica,Taylor and Francis Group,Matti Anniko,0001-6489,1651-2553,3.446
Acta Otolaryngol,Acta Otorhinolaryngologica Italica,,M. Ansarin,,,1.408
Acta Otorhinolaryngol Ital,Acta Pharmaceutica Sinica B,Elsevier,J.D. Jiang,2211-3835,,5.808
Acta Pharm Sin B,Acta Pharmaceutica Sinica B,Elsevier,J.D. Jiang,2211-3836,,5.808
Acta Pharmaceutica Sinica B,Acta Pharmaceutica Sinica B,Elsevier,J.D. Jiang,2211-3837,,5.808
Acta Pharmacol Sin,Acta Veterinaria Scandinavica,BioMed Central,Jørgen S. Agerholm,0044-605X,,1.678
Acta Vet Scand,Acute and Critical Care,Korean Society of Critical Care Medicine,Jae Hwa Cho,2586-6052,2586-6060,
Acute Crit Care,Acute Medicine & Surgery,Japanese Association for Acute Medicine,Hiroshi Tanaka,2052-8817,,
Acute Med Surg,Advances and Applications in Bioinformatics and Chemistry,Dove Medical Press,Bruno Villoutreix,1178-6949,,1.45
Adv Appl Bioinform Chem,Advances in Bioinformatics,Hindawi Publishing Corporation,,,1687-8035,1.33
Adv Bioinformatics,Advanced Biomedical Research,Medknow Publications,Shaghayegh Haghjooy Javanmard,,2277-9175,
Adv Biomed Res,,,,,,
Adv Dis Control Prev,Advances in Experimental Medicine and Biology,Springer,"Wim E. Crusio, Heinfried H. Radeke, Nima Rezaei",0065-2598,2214-8019,2.126
Adv Exp Med Biol,Advanced Journal of Emergency Medicine,Tehran University of Medical Sciences,Mohammad Jalili,,2588-400X,
Adv J Emerg Med,Advances in Preventive Medicine ,Hindawi Publishing Corporation,,2090-3480,2090-3499,
Adv Prev Med,Advanced Science,Wiley-VCH,Kirsten Severing,2198-3844,,15.804
Adv Sci (Weinh),Advances in Virology,Hindawi Publishing Corporation,,1687-8639,1687-8647,2.44
Adv Virol,African Health Sciences,Makerere University Medical School,James K. Tumwine,1680-6905,1729-0503,0.842
Afr Health Sci,African Journal of Emergency Medicine,Elsevier,"Stevan R. Bruijns, Lee A. Wallis",2211-419X,,0.58
Afr J Emerg Med,African Journal of Infectious Diseases,African Journals OnLine,"Anthony O. Onipede, Gbola Olayiwola",,2006-0165,0.24
Afr J Infect Dis,African Journal of Laboratory Medicine,African Online Scientific Information Systems,Iruka N. Okeke,2225-2002,2225-2010,0.762
Afr J Lab Med,"African Journal of Traditional, Complementary and Alternative Medicines",African Ethnomedicines Network,"Francis Abiodun Oladimeji, Stephen Olarinde Adewode",0189-6016,2505-0044,0.553
Afr J Tradit Complement Altern Med,African Journal of Ecology,Wiley-Blackwell,"Jon Lovett, Katharine Abernethy",0141-6707,1365-2028,0.875
African Journal of Ecology,Age,Holtzbrinck Springer Nature Publishing Group,,0161-9152,1574-4647,6.444
Age (Dordr),Aging,Impact Journals,"Jan Vijg, David Andrew Sinclair, Vera Gorbunova, Judith Campisi, Mikhail V. Blagosklonny",1945-4589,,5.515
Aging (Albany NY),Aging Cell,John Wiley & Sons,"Peter Adams, Adam Antebi, Ana Maria Cuervo, Brian Kennedy, John Sedivy",1474-9718,1474-9726,7.627
Aging Cell,Aging and Disease,JKL International,"Kunlin Jin, Ashok Shetty, David Greenberg",,2152-5250,5.058
Aging Dis,AIDS,Lippincott Williams & Wilkins (United Kingdom),JA Levy,0269-9370,1473-5571,4.499
AIDS,AIDS Research and Human Retroviruses,"Mary Ann Liebert, Inc.","Thomas Hope, PhD",0889-2229,1931-8405,1.805
AIDS Res Hum Retroviruses,AIDS Research and Therapy,BioMed Central,Eric Arts and Mark Boyd,1742-6405,,2.01
AIDS Res Ther,AIMS Public Health,AIMS Press,,,2327-8994,
AIMS Public Health,American Journal of Roentgenology,American Roentgen Ray Society,Thomas H. Berquist,1546-3141,,1.7
AJR Am J Roentgenol,American Journal of Roentgenology,American Roentgen Ray Society,Thomas H. Berquist,1546-3141,,1.7
AJR. American journal of roentgenology,Alcohol Research & Health,NIAAA,,1535-7414,,7.174
Alcohol Res Health,Alcoholism & Drug Abuse Weekly,Wiley,Alison Knopf,1042-1394,1556-7591,
Alcoholism & Drug Abuse Weekly,Algorithms for Molecular Biology,BioMed Central,"Burkhard Morgenstern, University of Gottingen, Germany and Peter Stadler, University of Leipzig, Germany",,1748-1788,1.585
Algorithms Mol Biol,Alimentary Pharmacology & Therapeutics,Blackwell Publishing,R.E. Pounder and W.L. Peterson,1365-2036,1365-2036,6.32
Aliment Pharmacol Ther,Allergy,John Wiley & Sons,Cezmi Akdis,0105-4538,1398-9995,6.771
Allergy,"Allergy , Asthma & Immunology Research","Korean Academy of Asthma, Allergy and Clinical Immunology Korean Academy of Pediatric Allergy and Respiratory Disease",Hae-Sim Park,2092-7355,2092-7363,5.026
Allergy Asthma Immunol Res,Allergy & rhinology,Thousand Oaks CA: SAGE Publications,David Kennedy,2152-6567,2152-6567,2.521
Allergy Rhinol (Providence),Alzheimer's Research & Therapy,BioMed Central,"Douglas R. Galasko, Todd E. Glode, and Philip Scheltens",,1758-9193,3.55
Alzheimers Res Ther,American Journal of Bioethics,Taylor & Francis,David Magnus,1526-5161,1536-0075,1.66
Am J Bioeth,American Journal of Clinical Pathology,Oxford University Press,Steven H. Kroft,0002-9173,1943-7722,
Am J Clin Pathol,American Journal of Epidemiology,Oxford University Press for the John Hopkins Bloomberg School of Public Health,Enrique Schisterman,0002-9262,1476-6256,1.6
Am J Epidemiol,American Journal of Hematology,Wiley-Liss,Carlo Brugnara,0361-8609,1096-8652,6.137
Am J Hematol,American Journal of Physiology: Gastrointestinal and Liver Physiology,American Physiological Society,,0193-1857,1522-1547,2.36
Am J Physiol Gastrointest Liver Physiol,American Journal of Physiology-Lung Cellular and Molecular Physiology,American Physiological Society,Rory E. Morty,1040-0605,1522-1504,2.58
Am J Physiol Lung Cell Mol Physiol,American Journal of Public Health,American Public Health Association,Alfredo Morabia,0090-0036,1541-0048,1.73
Am J Public Health,American Journal of Reproductive Immunology,Wiley-Blackwell,Gil Mor,1046-7408,1600-0897,1.55
Am J Reprod Immunol,American Journal Respiratory and Critical Care Medicine,American Thoracic Society,Jadwiga Welzicha,1073-449x,1535-4970,16.494
Am J Respir Crit Care Med,American Journal of Transplantation ,Wiley-Blackwell,Allen Kirk,1600-6135,1600-6143,6.493
Am J Transplant,American Journal of Tropical Medicine and Hygiene,American Society of Tropical Medicine and Hygiene,Phillip J Rosenthal,0002-9637,1476-1645,2.315
Am J Trop Med Hyg,AMB Express,,Alexander Steinbuchel,,2191-0855,2.266
AMB Express,American Journal of Infection Control,El Sevier,Patricia Stone,,,
American Journal of Infection Control,American Journal of Obstetrics and Gynecology,,Catherine Bradley,,,
American Journal of Obstetrics and Gynecology,American journal of respiratory and critical care medicine,American Thoracic Society,Jadwiga Welzicha,1073-449x,1535-4970,16.49
American journal of respiratory and critical care medicine,American Journal of Roentgenology,American Roentgen Ray Society,Thomas H Berquist,1546-3141,,
American Journal of Roentgenology,AMIA Joint Summits on Translational Science Proceedings,,,,,
AMIA Jt Summits Transl Sci Proc,Amino Acids,,Ellen I Closs,0939-4451,1438-2199,2.52
Amino Acids,Anaesthesia Critical Care & Pain Medicine,,Jean-Yves Lefrant,,2352-5568,2.734
Anaesthesia Critical Care & Pain Medicine,Analytical and Bioanalytical Chemistry,Springer,AJ Baeumner,1618-2642,1618-2650,3.268
Anal Bioanal Chem,Analytical Biochemistry,El Sevier,William Jakobe,0003-2697,1096-0309,2.219
Anal Biochem,Analytical Chemistry,ACS  Publications,Jonathon V Sweedler,0003-2700,1520-6882,6.35
Anal Chem,Anatolian Journal of Cardiology,Kare,Cetin Erol,1302-8723,1308-0032,1.11
Anatol J Cardiol,Anatolia,,,,,
Anatolia,Angewandte Chemie International Edition,Wiley-VCH,Neville Compton,1433-7851,1521-3773,12.257
Angew Chem Int Ed Engl,Animal Liberation Front,,,,,
Anim Front,Animal Genetics,,Hans Lenstra,,1365-2052,2.244
Anim Genet,Animal Nutrition,,,,,
Anim Nutr,Animal -----,,,,,
Animal,Animal Models and Experimental Medicine,Tina Wang,Chuan Qin,,2576-2095,
Animal Model Exp Med,Animals (Basel),,Clive J C Philips,,2076-2615,1.832
Animals (Basel),Annals of Clinical Microbiology Antimicrobials,Biomed Central,,,1476-0711,2.79
Ann Clin Microbiol Antimicrob,Annals of Clinical and Translational Neurology,,Jack Kessler,,2328-9503,4.656
Ann Clin Transl Neurol,Annals of Global Health,El Sevier,,,2214-9996,
Ann Glob Health.; 84(4):710-716,Annals of Global Health,El Sevier,,,2214-9996,
Ann Glob Health.; 85(1):3,Annals of Hematology,Springer,Arnold Ganser,0939-5555,1432-0584,2.811
Ann Hematol,Annals of Indian Academy of Neurology,Wolters Kluwer,,0972-2327,1998-3549,0.898
Ann Indian Acad Neurol,Annals of Intensive Care,Springer,Jean-Louis Teboul,,2110-5820,
Ann Intensive Care,Annals of Internal Medicine,American College of Physicians ,Christine Laine,0003-4819,1539-3704,19.315
Ann Intern Med,Annals of Laboratory Medicine,,Mina Hur,2234-3806,2234-3814,2.635
Ann Lab Med,Annals of Medical and Health Science Research,Enugu State NMA,Victor S Dorodny,2141-9248,2277-9205,1.8
Ann Med Health Sci Res,Annals of Medicine and Surgery,El Sevier,Riaz Agha,,,1.44
Ann Med Surg (Lond),Annals of New York Academy of Sciences,Wiley-Blackwell,Douglas Braaten,0077-8923,1749-6632,4.039
Ann N Y Acad Sci,Annals of Neurology,,Clifford B Saper,,1531-8249,9.496
Ann Neurol,Annals of Neurology,,Clifford B Saper,,1531-8249,9.496
Ann Neurosci,Annals of Oncology,Oxford University Press,Fabrice Andre,0923-7534,1569-8041,14.196
Ann Oncol,Annals of Palliative Medicine,AME publishing company,Charles B Samone,,,1.262
Ann Palliat Med,Annals of Rehabilitation Medicine,Korean Academy of Rehabilitaion Medicine,Shi-Uk Lee,2234-0645,2234-0653,
Ann Rehabil Med,Annals of Saudi Medicine,King Faisal Specialist Hospital and Research Centre,Nasser Al-Sanea,0256-4947,0775-4466,0.808
Ann Saudi Med,Annals of Thoracic Medicine,Medknow Publications,,1817-1737,1998-3557,
Ann Thorac Med,Annals of Translational Medicine,AME publishing company,,2305-5839,2305-5847,
Annals of Translational Medicine,Annals of Work Exposures and Health,Oxford University Press,Noah Seixas,2398-7308,2398-7316,1.713
Annals of Work Exposures and Health,Antibody Therapeutics,Oxford Academic,Mitchell Po,,2516-4236,
Antib Ther,Antibiotics,MDPI AG,,,2079-6382,2.921
Antibiotics (Basel),Antibiotics,MDPI AG,,,2079-6382,2.921
Antibodies (Basel),Anti-Inflammatory & Anti-Allergy Agents in Medicinal Chemistry,,Claudiu T Supuran,1871-5230,1875-614x,
Antiinflamm Antiallergy Agents Med Chem,Antimicrobial Agents and Chemotherapy,American Society for Microbiology,Luis B Rice ,0066-4804,1098-6596,4.715
Antimicrob Agents Chemother,Antimicrobial Resistance & Infection Control,BMC,Christina Vandenbrouke-Grauls,,2047-2994,
Antimicrob Resist Infect Control,Antioxidants,MDPI,Stanley Omaye,,2076-3921,4.52
Antioxidants (Basel),Antiviral Chemistry and Chemothereapy,Inernational Medical Press,Hugh J Field,,0956-3202,
Antivir Chem Chemother,Antiviral Research,El Sevier,M Bray,,0166-3542,4.909
Antiviral Res,Antiviral Research,El Sevier,M Bray,,0166-3542,4.909
Antiviral Research,Antonie van Leeuwenhoek,Springer,Iain Sutcliffe,0003-6072,1572-9699,1.795
Antonie Van Leeuwenhoek,Application of Clinical Genetics,Dove Press,,,1178-704x,
Appl Clin Genet,Applied and Enviornmental Microbiology,American Society for Microbiology,Harold L Drake,0099-2240,1098-5336,4.077
Appl Environ Microbiol,Applied Health Economics and Health Policy,El Sevier,Reinhard Busse,0168-8510,1872-6054,2.293
Appl Health Econ Health Policy,Applied Microbiology and Biotechnology,Springer,Alexander Steinbuchel,0175-7598,1432-0614,3.67
Appl Microbiol Biotechnol,Applied Network Science,Springer,Hocine Cherifi,,2364-8228,
Appl Netw Sci,Applied & Translational Genomics,El Sevier,,,2212-0661,
Appl Transl Genom,Applicable Analysis,Taylor and Francis Group,Robert P Gilbert,0003-6811,1563-504x,
Applicable Analysis,Archives of Disease in Childhood,BMJ Group,Nick Brown,0003-9888,1468-2044,3.258
Arch Dis Child,Archives of Medical Science,Termedia,Nader G Abraham,1734-1922,1896-9151,2.38
Arch Med Sci,Archiv Der Pharmazie,,Andreas Link,,1521-4184,2.145
Arch Pharm (Weinheim),Archives of Public Health,BMC,Herman Van Oyen,,2049-3258,
Arch Public Health,Archives of Virology,Springer Science and Buisiness Media,Tim Skern,0304-8608,1432-8798,2.261
Arch Virol,Archives of Academic Emergency Medicine,Shahid Beheshti University of Medical Sciences,Iraj Najafi,2645-4904,2345-4563,
Archives of Academic Emergency Medicine,Archives of disease in childhood. Fetal and neonatal edition,BMJ,Nick Brown,1359-2998,1468-2052,3.776
Archives of disease in childhood. Fetal and neonatal edition,Arthritis Research & Therapy,Biomed Central,Christopher Buckley & Harris Perlman,1478-6354,1478-6362,4.269
Arthritis Res Ther,Asia Pacific Allergy,Asia Pacific Association of Allergy,,2233-8268,2233-8276,
Asia Pac Allergy,Asia Pacific Family Medicine,BMC,Yousuke Takemura,,1447-056x,
Asia Pac Fam Med,Asia-Pacific Journal of Oncology Nursing,Asian Oncology Nursing Society,Winniy K W So,2347-5625,2349-6673,
Asia Pac J Oncol Nurs,Asian Journal of Transfusion Science,Medknow Publications,,0973-6247,1998-3565,
Asian J Transfus Sci,Asian Journal of Psychiatry,El Sevier,R Tandon,,1876-2018,1.932
Asian Journal of Psychiatry,Asian Pacific Journal of Cancer Prevention,Asian Pacific Organization for Cancer Prevention,Alireza Mosavi Jarrahi,1513-7368,2476-762x,1.5
Asian Pac J Cancer Prev,Asian Pacific Journal of Allergy and Immunology,The Allergy and Immunology Society of Thailand,,0125-877X,,1.451
Asian Pacific journal of allergy and immunology,Asian Pacific Journal of Tropical Medicine,Medknow Publications,,1995-7645,,1.52
Asian Pacific Journal of Tropical Medicine,Asian-Australasian Journal of Animal Sciences,Asian-Australasian of Animal Production Societies,,1011-2367,1976-5517,0.53
Asian-Australas J Anim Sci,American Society for Neurochemistry,Sage Publications,,1759-0914,1759-0914,2.707
ASN Neuro,Atencion Primaria,Elsevier,Amando Martin Zurro,,0212-6567,0.34
Aten Primaria,Australia and New Zealand Health Policy,CRISO Publishing,John Lowe,,1743-8462 or 1753-6405,1.911
Aust New Zealand Health Policy,Autoimmunity Highlights,Springer Verlag Italia,M.E. Gershwin,2038-0305,2038-3274,3.5
Auto Immun Highlights,Autoimmune Diseases,,,2090-0422,2090-0430,
Autoimmune Dis,Autophagy,Taylor & Francis,Daniel J. Klionsky,1554-8627,1554-8635,11.13
Autophagy,Autopsy Case Reports,University of Sao Paulo,,2236-1960,,
Autops Case Rep,Avicenna Journal of Phytomedicine,Mashhad University of Medical Sciences,,2228-7930,2228-7949,1.38
Avicenna J Phytomed,Bacteriophage,Taylor & Francis Ltd.,,2159-7073,2159-7081,2.35
Bacteriophage,Balkan Medical Journal,Galenos Yayincilik,"Zafer KOÇAK, MD",2146-2123,2146-3131,1.233
Balkan Med J,Baylor University Medical Center Proceedings,Taylor and Francis Group,Cynthia D. Orticio,0899-8280,1525-3252,0.42
Baylor University Medical Center Proceedings, Beilstein Journal of Organic Chemistry  ,"Beilstein Institute for the Advancement of Chemical Sciences, until February 2008 in partnership with BioMed Central",Peter Seeberger,1860-5397,,1.62
Beilstein J Org Chem,biochem biophys rep,Elsevier BV,Hans van Leeuwen ,2405-5808,19090-2104,1.65
Biochem Biophys Rep,biochemistry insights,SAGE Journals ,Alanna Schepartz,1178-6264,1178-6264,2.952
Biochem Insights,Biochemical Journal,Portland Press,,0264-6021,1470-8728,4.331
Biochem J,Biochemistry Research International,Hindawi Publishing Corporation ,,2090-2247,,1.96
Biochem Res Int,Biochemical and Biophysical Research Communications,Elsevier,Wolfgang Baumeister,0006-291X,19090-2104,2.705
Biochemical and Biophysical Research Communications,Biochemistry ,American Chemical Society ,Alanna Schepartz,0006-2960,1520-4995,2.952
Biochemistry,Biochimica et Biophysica Acta ,Elsevier,,0006-3002,1878-2434,
Biochim Biophys Acta,Biochimica et Biophysica Acta - General Subjets,Elsevier,"Lee Graves  Lennart Nilsson, Des R. Richardson, B.Sc.",0304-4165,,3.681
Biochim Biophys Acta Gen Subj,BioData Mining ,BioMed Central,,1756-0381,1756-0381,1.875
BioData Min,Biodiversity Data Journal,Pensoft Publishers,,1314-2828,,0.94
Biodivers Data J,BioDrugs,Adis International ,,1173-8804,1179-190X,3.825
BioDrugs,Bioengineered,Taylor & Francis Online ,Mohammad Taherzadeh,2165-5979,,1.02
Bioengineered,Bioethics  ,John Wiley & Sons, Ruth Chadwick and Udo Schüklenk,0269-9702,1467-8519,1.66
Bioethics,Bioinformatics and Biology Insights,SAGE Publications ,Erich Bornberg-Bauer ,1177-9322,,1.31
Bioinform Biol Insights,Bioinformatics  or Bioinformatics Oxford Journal,Oxford University Press,Robert J. Beynon,1367-4803,1460-2059,4.531
Bioinformatics,"Bioinformatics (Oxford, England)",,,1367-4811,,
"Bioinformatics (Oxford, England)",Bioinformation,Biomedical Informatics Publishing Group,,0973-8894,0973-2063,0.6
Bioinformation,Biology Direct ,BioMed Central,"Eugene Koonin, Laura Landweber, David J. Lipman",1745-6150,,4.04
Biol Direct,Biological Invasions,Springer Verlag ,Daniel Simberloff,1387-3547,,2.24
Biol Invasions,Biology Open ,The Company of Biologists ,Steven Kelly,2046-6390 ,,1.962
Biol Open,Biological Procedures Online,Springer ,Shulin Li ,1480-9222 ,,1.565
Biol Proced Online,Biological Research,PSM,Manuel J Santos, 2517-9586,,2.482
Biol Res,Biological Trace Element Research  ,Springer Science+Business Media ,M.F. Flores-Arce,0163-4984,1559-0720,2.361
Biol Trace Elem Res,Biologicals,Elsevier,R. Thorpe,1045-1056,,1.96
Biologics,Biology,MDPI,Chris O'Callaghan,2079-7737,,
Biology,Biology-Basel,,,,,
Biology (Basel),Biomarker Insights  ,SAGE Publications ,Karen Pulford,1177-2719,,1.9
Biomark Insights,Biomedical Engineering and Computational Biology,SAGE Publications ,,1179-5972,,
Biomed Eng Comput Biol,BioMedical Engineering Online,BioMed Central,Ervin Sejdic and Fong-Chin Su,1475-925X,,2.013
Biomed Eng Online,Biomedicine Hub,Karger Publishers ,Julie Y.H. Chan ,2296-6870 ,,
Biomed Hub,Biomedical Imaging and Intervention Journal  ,Department of Biomedical Imaging ,"Kwan-Hoong Ng, Norlisah Ramli",1823-5530,,
Biomed Imaging Interv J,Biomedical Journal,Elsevier BV ,"Jan-Kan Chen, Fu-Chan Wei",2319-4170,,2.301
Biomed J,BioMed Research International ,Hindawi Publishing Corporation ,Abdelali Haoudi,2314-6133,2314-6141 ,2.583
Biomed Res Int,Biomedicines,MDPI ,,2227-9059,,2.69
Biomedicines,BioMetals  ,Springer Science+Business Media ,Günther Winkelmann,0966-0844,1572-8773 ,2.134
Biometals,Biomolecules and therapeutics,Korean Society of Applied Pharmacology,not found,1976-9148,2005-4483,not found
Biomol Ther (Seoul),Biomolecules,MDPI,Alaimo,2218-273X (not clear if electornic or print,2218-273X (not clear if electornic or print,4.694
Biomolecules,Biosafety and health,Elselvier,Wu,2590-0536(not clear if electornic or print,2590-0536 (not clear if electronic or print,not found
Biosafety and Health,Bioscience reports,Portland press,Hong,0144-8463,1573-4935,not found
Biosci Rep,BioScience Trends,US National Library of Medicine,Kokudo,1881-7815,1881-7823,1.686
Biosci Trends,BioScience Trends,US National Library of Medicine,Kokudo,1881-7815,1881-7823,1.686
BioScience Trends,Bioscience trends,US National Library of Medicine,Kokudo,1881-7816,1881-7824,1.686
"BioScience TrendsAB - As of January 22, 2020, a total of 571 cases of the 2019-new coronavirus (2019-nCoV) have been reported in 25 provinces (districts and cities) in China. At present, there is no vaccine or antiviral treatment for human and animal coro",Biosensors   ,MDPI,Marrazza/Liu,2079-6374 (not clear if electornic or print,2079-6374 (not clear if electornic or print,3.57
Biosensors (Basel),Biosensors and bioelectronics,Elselvier,Gu/Li/Merkoci,0956-5663 (not clear if electronic or print,0956-5663 (not clear if electronic or print),9.518
Biosensors and Bioelectronics,Biotechnology journal,Wiley online library, Jungbauer,Not found,1860-7314,3.453
Biotechnol J,Biotechnology reports,Elselvier,Mattison,2215-017X  (not clear if electornic or print,2215-017X (not clear if electronic or print),4.57
Biotechnol Rep (Amst),British journal of general practice open,British journal of general practice,Miller,2398-3795 (not clear if electornic or print,2398-3795 (not clear if electronic or print,not found
BJGP Open,British journal of general practice: an international journal of obsterics and gynaecology,British journal of general practice,Marsh,Not found,1471-0528,5.193
BJOG: An International Journal of Obstetrics & Gynaecology,British medical bullietin reports,British medical bulletin ,Kang,Not found,1976-670X,not found
BMB Rep,Biomedical Central Anesthesiology,Springer,Tu,Not found,1471-2253,2 year- 1.619 5 year-2.040
BMC Anesthesiol,Biomedical Central Biochemistry,Springer,Cuff,Not found,1471-2091,2 year-1.595 5 year-1.515
BMC Biochem,Biomedical Central Informatics,Springer,Cuff,Not found,1471-2105,2 year-2.511 5 year- 2.970
BMC Bioinformatics,Biomedical Central Biology,Springer,Not certain,Not found,1741-7007,2 year-6.723 5 year- 7.508
BMC Biol,Biomedical Central Biotechnology,Springer,Sridhar,Not found,1472-6750,2 year-2.303 5 year-2.861
BMC Biotechnol,Biomedical Central Cancer,Springer,Gummlich,Not found,1471-2407,2 year-2.933 5 year-3.424
BMC Cancer,Biomedical central cell biology,Springer,Cuff,Not found,2661-8850,2 year-3.485 5 year-3.227
BMC Cell Biol,Biomedical Central complementary and  alternative medicine,Springer,Menard,Not found,2662-7671,2 year- 2.479 5 year-2.820
BMC Complement Altern Med,Biomedical Central Developmental Biology,Springer,Sridhar,Not found,1471-213X,2 year-2.368 5 year-2.979
BMC Dev Biol,Biomedical Central emergency medicine,Springer,Tu,Not found, 1471-227X,1.78
BMC Emerg Med,Biomedical Central Evolutionary Biology,Springer,Cuff,Not found,1471-2148,2 year-3.045 5 year-3.559
BMC Evol Biol,Biomedical Central Family Practice,Springer,Cryer,Not found,1471-2296,2 year-2.431 5 year-2.666
BMC Fam Pract,Biomedical Central Gastroenterology,Springer,Tian,Not found,"1471-230X
",2 year-2.252 5 year-2.694
BMC Gastroenterol,Biomedical Central genetics,Springer,Pasini,Not found, 1471-2156,2 year-2.547 5 year-2.777
BMC Genet,Biomedical Central genomics,Springer,Pasini,Not found,"1471-2164
",2 year-3.501 5 year-4.142
BMC Genomics,Biomedical Central Geriatrics,Springer,Aronin,Not found,1471-2318,2 year-2.818 5 year-3.458
BMC Geriatr,Biomedical Central Health Services Research,Springer,Cryer,Not found,1472-6963,2 year-1.932 5 year-2.636
BMC Health Serv Res,Biomedical Central hematology ,Springer,Tu,Not found, 2052-1839,1.47
BMC Hematol,Biomedical Central Immunology,Springer,Archer,Not found,1471-2172,2 year-2.186 5 year-2.551
BMC Immunol,Biomedical Central Infectious Diseases,Springer,Archer,Not found,1471-2334,2 year-2.565 5 year-2.951
BMC Infect Dis,Biomedical Central International Health and Human Rights,Springer,Pafitis,Not found,1472-698X,2 year-1.656 5 year-2.762
BMC Int Health Hum Rights,Biomedical Central medicine,Springer,Not certain,Not found,1741-7015,2 year- 8.285 5 year-9.428
BMC Med,Biomedical Central medical eduction,Springer,Menard,Not found,1472-6920,2 year- 1.870 5 year-2.317
BMC Med Educ,Biomedical Central medical ethics,Springer,Menard,Not found,1472-6939,2 year-2.507 5 year- 2.571
BMC Med Ethics,Biomedical Central medical genetics,Springer,Pasini,Not found,1471-2350,2 year- 1.740 5 year-2.051
BMC Med Genet,Biomedical Central medical genomics,Springer,Pasini,Not found,1755-8794,2 year-2.568 5 year -3.062
BMC Med Genomics,Biomedical Central Medical Informatics and Decision Making,Springer,Cuff,Not found,1472-6947,2 year- 2.067 5 year-2.674
BMC Med Inform Decis Mak,Biomedical Central medical research methodology ,Springer,Hughes,Not found,1471-2288,2 year-2.509 5 year-4.950
BMC Med Res Methodol,Biomedical Central medicine,Springer,Not certain,Not found,1741-7015,2 year -8.285 5 year-9.428
BMC Medicine,Biomedical Central microbiology,Springer,Sridhar,Not found,1471-2180,2 year-3.287 5 year-3.372
BMC Microbiol,Biomedical Central Molecular Biology,Springer ,Hodges,Not found,1471-2199,2 year- 2.57  5 year-2.38
BMC Mol Biol,Biomedical Central Molecular and Cell Biology,Springer,Cuff,Not found,2661-8850,2 year- 3.485 5 year -3.227
BMC Mol Cell Biol,Biomedical Central Musculoskeletal Disorders,Springer,Fitzpatrick,Not found,1471-2474,2 year-2.022 5 year-2.381
