JournalNameInData,StandardJournalName,Publisher,ChiefEditor,PrintISSN,ElectronicISSN,ImpactFactor
BMC Emerg Med,Biomedical Central emergency medicine,Springer,Tu,Not found, 1471-227X,1.78
BMC Evol Biol,Biomedical Central Evolutionary Biology,Springer,Cuff,Not found,1471-2148,2 year-3.045 5 year-3.559
BMC Fam Pract,Biomedical Central Family Practice,Springer,Cryer,Not found,1471-2296,2 year-2.431 5 year-2.666
BMC Gastroenterol,Biomedical Central Gastroenterology,Springer,Tian,Not found,"1471-230X
",2 year-2.252 5 year-2.694
BMC Genet,Biomedical Central genetics,Springer,Pasini,Not found, 1471-2156,2 year-2.547 5 year-2.777
BMC Genomics,Biomedical Central genomics,Springer,Pasini,Not found,"1471-2164
",2 year-3.501 5 year-4.142
BMC Geriatr,Biomedical Central Geriatrics,Springer,Aronin,Not found,1471-2318,2 year-2.818 5 year-3.458
BMC Health Serv Res,Biomedical Central Health Services Research,Springer,Cryer,Not found,1472-6963,2 year-1.932 5 year-2.636
BMC Hematol,Biomedical Central hematology ,Springer,Tu,Not found, 2052-1839,1.47
BMC Immunol,Biomedical Central Immunology,Springer,Archer,Not found,1471-2172,2 year-2.186 5 year-2.551
BMC Infect Dis,Biomedical Central Infectious Diseases,Springer,Archer,Not found,1471-2334,2 year-2.565 5 year-2.951
BMC Int Health Hum Rights,Biomedical Central International Health and Human Rights,Springer,Pafitis,Not found,1472-698X,2 year-1.656 5 year-2.762
BMC Med,Biomedical Central medicine,Springer,Not certain,Not found,1741-7015,2 year- 8.285 5 year-9.428
BMC Med Educ,Biomedical Central medical eduction,Springer,Menard,Not found,1472-6920,2 year- 1.870 5 year-2.317
BMC Med Ethics,Biomedical Central medical ethics,Springer,Menard,Not found,1472-6939,2 year-2.507 5 year- 2.571
BMC Med Genet,Biomedical Central medical genetics,Springer,Pasini,Not found,1471-2350,2 year- 1.740 5 year-2.051
BMC Med Genomics,Biomedical Central medical genomics,Springer,Pasini,Not found,1755-8794,2 year-2.568 5 year -3.062
BMC Med Inform Decis Mak,Biomedical Central Medical Informatics and Decision Making,Springer,Cuff,Not found,1472-6947,2 year- 2.067 5 year-2.674
BMC Med Res Methodol,Biomedical Central medical research methodology ,Springer,Hughes,Not found,1471-2288,2 year-2.509 5 year-4.950
BMC Medicine,Biomedical Central medicine,Springer,Not certain,Not found,1741-7015,2 year -8.285 5 year-9.428
BMC Microbiol,Biomedical Central microbiology,Springer,Sridhar,Not found,1471-2180,2 year-3.287 5 year-3.372
BMC Mol Biol,Biomedical Central Molecular Biology,Springer ,Hodges,Not found,1471-2199,2 year- 2.57  5 year-2.38
BMC Mol Cell Biol,Biomedical Central Molecular and Cell Biology,Springer,Cuff,Not found,2661-8850,2 year- 3.485 5 year -3.227
BMC Musculoskelet Disord,Biomedical Central Musculoskeletal Disorders,Springer,Fitzpatrick,Not found,1471-2474,2 year-2.022 5 year-2.381
BMC Nephrol,Biomedical Central Nephrology,Springer,Not certain,Not found,1471-2369,2 year-2.088 5 year-2.461
BMC Neurol,Biomedical Central Neurology,Springer,Byrne,Not found, 1471-2377,2 year-2.233 5 year-2.570
BMC Neurosci,Biomedical Central Neuroscience,Springer,Byrne,Not found,"1471-2202
",2 year-2.620 5 year-2.712
BMC Nurs,BMC Nursing,BioMed Central,Tovah Honor Aronin,,1472-6955,1.69
BMC Oral Health,BMC Oral Health,BioMed Central,Anne Menard,,1472-6831,2.393
BMC Pediatr,BMC Pediatrics,BioMed Central,Darren Byrne,,1471-2431,2.765
BMC Physiol,BMC Physiology,BioMed Central,Kathy Myburgh,,1472-6793,2.87
BMC Plant Biol,BMC Plant Biology,BioMed Central,Akila Sridhar,,1471-2229,4.311
BMC Pregnancy Childbirth,BMC Pregnancy and Childbirth,BioMed Central,Tovah Honor Aronin,,1471-2393,3.512
BMC Proc,BMC Proceedings,BioMed Central,Anne Menard,,1753-6561,0.67
BMC Psychiatry,BMC Psychiatry,BioMed Central,Darren Byrne,,1471-244X,3.302
BMC Public Health,BMC Public Health,BioMed Central,Natalie Pafitis,,1471-2458,3.275
BMC Pulm Med,BMC Pulmonary Medicine,BioMed Central,Tamara Hughes,,1471-2466,2.596
BMC Res Notes,BMC Research Notes,BioMed Central,Tamara Hughes,,1756-0500,1.34
BMC Struct Biol,BMC Structural Biology,BioMed Central,Alison Cuff,,1472-6807,1.609
BMC Syst Biol,BMC Systems Biology,BioMed Central,Alison Cuff,,1752-0509,2.505
BMC Vet Res,BMC Veterinary Research,BioMed Central,Hayley Henderson,,1746-6148,2.12
BMJ,British Medical Journal,BMJ,Fiona Godlee,"	0959-8138",1756-1833,27.604
BMJ (Clinical research ed.),British Medical Journal (Clinical Research Edition),BMJ,Fiona Godlee,0959-8138,1756-1833,0.48
BMJ Glob Health,BMJ Global Health,BMJ,Dr Seye Abimbola,,2059-7908,
BMJ Open,BMJ Open,BMJ,Adrian Aldcroft,,2044-6055,2.376
BMJ Open Qual,BMJ Open Quality,BMJ,Helen Crisp,,2399-6641,2.413
BMJ Open Respir Res,BMJ Open Respiratory Research,BMJ,Stephen Chapman,,2052-4439,1.302
Body Soc,Body & Society,SAGE Publications,"	Mike Featherstone",1357-034X,1460-3632,1.595
Boletín bibliográfico de la Biblioteca Médica Nacional,Bibliomed. Boletín bibliográfico de la Biblioteca Médica Nacional,,,,,
Bone Joint Res,Bone & Joint Research,The British Editorial Society of Bone & Joint Surgery,Hamish Simpson,,2046-3758,3.652
Bone Marrow Transplant,Bone Marrow Research,,,,,
Bone Res,Bone Research,Springer,Xue-dong Zhou,,2095-6231 ,4.455
Br J Cancer,British Journal of Cancer  ,Nature Research ,Adrian L Harris,0007-0920,1532-1827 ,5.922
Br J Nurs,The British Journal of Nursing,Mark Allen Publishing Ltd.,Ian Peate OBE,0966-0461,,0.46
Br J Ophthalmol,British Journal of Ophthalmology,BMJ,"Keith Barton, James Chodosh and Jost Jonasand",0007-1161,1468-2079,3.806
Br J Sports Med,British Journal of Sports Medicine,BMJ,Karim Khan,          0306-3674,1473-0480,11.645
Brain,Brain: A Journal of Neurology,Oxford University Press,Dimitri Kullmann,"	0006-8950",1460-2156,11.814
Brain Behav,Brain and Behavior,Wiley-Blackwell,Maryann Martone,,2162-3279,2.219
Brain Pathol,Brain Pathology,John Wiley & Sons,Markus Glatzel,"	1015-6305",1750-3639,6.624
Brain Sci,Behavioral and Brain Sciences,Cambridge University Press,"Paul Bloom, Barbara L. Finlay","	0140-525X",1469-1825,15.071
Braz J Med Biol Res,Brazilian Journal of Medical and Biological Research,Associação Brasileira de Divulgação Científica,"Eduardo Magalhães Rego, Luisa Lina Villa, João Pereira Leite, Roberto César Pereira Lima Júnior, Itamar de Souza Santos, Claudia Kimie Suemoto",0100-879X,0100-879X,1.85
Braz J Microbiol,Brazilian Journal of Microbiology,Springer,Marina Baquerizo,1517-8382,1678-4405,2.857
Breast Cancer Res,Breast Cancer Research,BioMed Central, Lewis Chodosh,"	1465-5411",1465-542X,6.142
Breathe (Sheff),Breathe,European Respiratory Society,Claudia Dobler,1810-6838,,0.7
Brief Bioinform,Briefings in Bioinformatics,Oxford University Press,Martin Bishop,"	1467-5463",1477-4054,9.101
Brief Funct Genomics,Briefings in Functional Genomics ,Oxford University Press, Paul Hurd,"	2041-2649",2041-2657,3.133
British journal of anaesthesia,British Journal of Anaesthesia,Elsevier,Hugh C. Hemmings,"	0007-0912",1471-6771,6.199
British Journal of Dermatology,British Journal of Dermatology,Wiley-Blackwell,John Ingram,"	0007-0963",1365-2133,6.714
Building Simulation,Building Simulation: An International Journal,Springer,Xudong Yang,1996-3599,1996-8744,2.211
Bull Math Biol,Bulletin of Mathematical Biology,Springer,"Alan Hastings, Reinhard Laubenbacher",1522-9602,1522-9602,1.657
Bull World Health Organ,Bulletin of the World Health Organization,World Health Organization,Laragh Gollogly,"	0042-9686",1564-0604,6.818
Bulletin of the World Health Organization,Bulletin of the World Health Organization,"World Health Organization
",Laragh Gollogly,        0042-9686,1564-0604,6.818
Bundesgesundheitsblatt Gesundheitsforschung Gesundheitsschutz,Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz,Springer,Sophia Seidel,1436-9990,1437-1588,1.508
Burns Trauma,Burns & Trauma,Oxford University Press,Jun Wu,,2321-3876,2.493
C&EN Global Enterprise,C&EN Global Enterprise,,,,,
Can J Anaesth,The Canadian Journal of Anesthesia,Springer,Hilary Grocott,0832-610X,1496-8975,2.96
Can J Infect Dis Med Microbiol,Canadian Journal of Infectious Diseases and Medical Microbiology,Hindawi,John Conly,"	1712-9532",1918-1493,0.991
Can J Respir Ther,,,,,,
Can Respir J,,,,,,
Canadian Association of Radiologists Journal,,,,,,
Canadian Journal of Anesthesia/Journal canadien d'anesthésie,,,,,,
Cancer Cell Int,,,,,,
Cancer Immunol Immunother,,,,,,
Cancer Inform,,,,,,
Cancer Manag Res,,,,,,
Cancer Med,,,,,,
Cancer Res Treat,,,,,,
Cancer Sci,,,,,,
Cancers (Basel),,,,,,
Cardiol Res,,,,,,
Cardiovasc Diabetol,,,,,,
Cardiovasc Hematol Agents Med Chem,,,,,,
Cardiovascular and interventional radiology,,,,,,
Case Rep Crit Care,,,,,,
Case Rep Infect Dis,,,,,,
Case Rep Med,,,,,,
Case Rep Nephrol Dial,,,,,,
Case Rep Neurol Med,,,,,,
Case Rep Oncol Med,,,,,,
Case Rep Pediatr,,,,,,
Case Rep Pulmonol,,,,,,
Case Rep Rheumatol,,,,,,
Case Rep Transplant,,,,,,
Case Rep Vet Med,,,,,,
Cases J,,,,,,
CBE Life Sci Educ,,,,,,
Cell,,,,,,
Cell Biochem Biophys,Cell Biochemistry and Biophysics,Springer,Lawrence J. Berliner,1085-9195,1559-0283,1.455
Cell Biochem Funct,Cell Biochemistry and Function,Wiley-Blackwell,Nigel Loveridge,0263-6484,1099-0844,1.854
Cell Biol Int,Cell Biology International,Portland Press,D.N. Wheatley,1065-6995,1095-8355,1.747
Cell Biosci,Cell and Bioscience,Springer,Dr. Yun-Fai Chris Lau,2045-3701,2045-3701,
Cell Chem Biol,,,,,,
Cell Commun Signal,,,,,,
Cell Cycle,,,,,,
Cell Death Dis,,,,,,
Cell Death Discov,,,,,,
Cell Discov,,,,,,
Cell Discovery,,,,,,
Cell Host & Microbe,,,,,,
Cell Host Microbe,,,,,,
Cell J,,,,,,
Cell Microbiol,,,,,,
Cell Mol Biol Lett,,,,,,
Cell Mol Immunol,,,,,,
Cell Mol Life Sci,,,,,,
Cell Regen (Lond),,,,,,
Cell Rep,,,,,,
Cell Res,,,,,,
Cell Research,,,,,,
Cell Tissue Res,,,,,,
Cells,,,,,,
Cellular & Molecular Immunology,,,,,,
Cellular & Molecular Immunology AB  -The novel coronavirus was denoted as 2019-nCoV by WHO (https://www.who.int/emergencies/diseases/novel-coronavirus-2019) and the Wuhan pneumonia was named as novel coronavirus-infected pneumonia (NCIP) by Chinese scient,,,,,,
Cent Asian J Glob Health,,,,,,
Cent Eur J Immunol,,,,,,
Chem Biol,,,,,,
Chem Cent J,,,,,,
Chem Rev,,,,,,
Chem Sci,,,,,,
ChemBioChem,,,,,,
Chemistry,,,,,,
Chemistry & Industry,,,,,,
Chest,,,,,,
Children (Basel),,,,,,
Chin J Integr Med,,,,,,
Chin Med,,,,,,
Chin Med J (Engl),,,,,,
Chinese Critical Care Medicine,,,,,,
Chinese Journal of Anesthesiology,,,,,,
Chinese Journal of Applied Clinical Pediatrics,,,,,,
Chinese Journal of Behavioral Medicine and Brain Science,,,,,,
Chinese Journal of Burns,,,,,,
Chinese Journal of Clinical Infectious Diseases,,,,,,
Chinese Journal of Digestion,,,,,,
Chinese Journal of Emergency Medicine,,,,,,
Chinese Journal of Evidence-Based Medicine,,,,,,
Chinese Journal of Experimental and Clinical Virology,,,,,,
Chinese Journal of Experimental Ophthalmology,,,,,,
Chinese Journal of Gastrointestinal Surgery,,,,,,
Chinese Journal of Geriatrics,,,,,,
Chinese Journal of Hepatology,,,,,,
Chinese Journal of Hospital Administration,,,,,,
Chinese Journal of Infectious Diseases,,,,,,
Chinese Journal of Laboratory Medicine,,,,,,
Chinese Journal of Microbiology and Immunology,,,,,,
Chinese Journal of Obstetrics and Gynecology,,,,,,
Chinese Journal of Oncology,,,,,,
Chinese Journal of Organ Transplantation,,,,,,
Chinese Journal of Orthopaedic Trauma,,,,,,
Chinese Journal of Pediatrics,,,,,,
Chinese Journal of Perinatal Medicine,,,,,,
Chinese Journal of Preventive Medicine,,,,,,
Chinese Journal of Radiology,,,,,,
Chinese Journal of Stomatology,,,,,,
Chinese Journal of Surgery,,,,,,
Chinese Journal of Trauma,,,,,,
Chinese Medical Journal,,,,,,
Chinese medical sciences journal = Chung-kuo i hsueh k'o hsueh tsa chih,,,,,,
Chinese Pediatric Emergency Medicine,,,,,,
Chronic Dis Transl Med,,,,,,
Ci Ji Yi Xue Za Zhi,,,,,,
Cilia,,,,,,
Clin Appl Thromb Hemost,,,,,,
Clin Case Rep,,,,,,
Clin Chem,,,,,,
Clin Chem Lab Med,,,,,,
Clin Dev Immunol,,,,,,
Clin Endosc,,,,,,
Clin Epidemiol,,,,,,
Clin Exp Emerg Med,,,,,,
Clin Exp Immunol,,,,,,
Clin Exp Vaccine Res,,,,,,
Clin Infect Dis,,,,,,
Clin Interv Aging,,,,,,
Clin J Gastroenterol,,,,,,
Clin Kidney J,,,,,,
Clin Mol Allergy,,,,,,
Clin Nutr Res,,,,,,
Clin Ophthalmol,,,,,,
Clin Oral Investig,,,,,,
Clin Otolaryngol,,,,,,
Clin Pharmacol Ther,,,,,,
Clin Pract,,,,,,
Clin Pract Cases Emerg Med,,,,,,
Clin Proteomics,,,,,,
Clin Sci (Lond),,,,,,
Clin Transl Allergy,,,,,,
Clin Transl Immunology,,,,,,
Clin Transl Med,,,,,,
Clin Trials,,,,,,
Clin Vaccine Immunol,,,,,,
Clinica Chimica Acta,,,,,,
Clinical & Translational Immunology,,,,,,
Clinical Chemistry,,,,,,
Clinical Imaging,,,,,,
Clinical Infectious Diseases,,,,,,
Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,,,,,,
"Clinical Infectious Diseases,",,,,,,
"Clinical medicine (London, England)",,,,,,
Clinical Microbiology and Infection,,,,,,
Clinics (Sao Paulo),,,,,,
CMAJ : Canadian Medical Association journal = journal de l'Association medicale canadienne,,,,,,
CME,,,,,,
CNS Oncol.; 8(4):CNS45,,,,,,
Cochrane Database Syst Rev,,,,,,
Cold Spring Harb Mol Case Stud,,,,,,
Colomb Med (Cali).; 44(2):121-128,,,,,,
Comb Chem High Throughput Screen,,,,,,
Commun Biol,,,,,,
Commun Dis Intell (2018),,,,,,
Comp Funct Genomics,,,,,,
Complementary Therapies in Clinical Practice,,,,,,
Comput Intell Neurosci,,,,,,
Comput Math Methods Med,,,,,,
Comput Struct Biotechnol J,,,,,,
Computers in Biology and Medicine,,,,,,
Confl Health,,,,,,
Conserv Physiol,,,,,,
Contrast Media Mol Imaging,,,,,,
Cough,,,,,,
Crim Justice Ethics,,,,,,
Crit Care,,,,,,
Crit Care Med,,,,,,
Crit Care Res Pract,,,,,,
Crit Rev Microbiol,,,,,,
Crit Ultrasound J,,,,,,
Critical Care,,,,,,
Croat Med J,,,,,,
Curationis,,,,,,
Cureus.; 10(3):e2387,,,,,,
Cureus.; 11(4):e4577,,,,,,
Cureus.; 7(9):e332,,,,,,
Curr Chem Genomics,,,,,,
Curr Clin Microbiol Rep,,,,,,
Curr Drug Targets,,,,,,
Curr Genomics,,,,,,
Curr HIV Res,,,,,,
Curr Neuropharmacol,,,,,,
Curr Oncol,,,,,,
Curr Opin Chem Biol,,,,,,
Curr Opin HIV AIDS,,,,,,
Curr Opin Infect Dis,,,,,,
Curr Opin Microbiol,,,,,,
Curr Opin Virol,,,,,,
Curr Pharm Des,,,,,,
Curr Protein Pept Sci,,,,,,
Curr Ther Res Clin Exp,,,,,,
Curr Top Med Chem,,,,,,
Curr Treat Options Infect Dis,,,,,,
Current opinion in pulmonary medicine,,,,,,
Current topics in medicinal chemistry,,,,,,
Current Tropical Medicine Reports,,,,,,
Cytokine Growth Factor Rev,,,,,,
Cytometry Part A,,,,,,
Daru,,,,,,
Data Brief,Data in Brief,Elsevier,"Hao-Ran Wang, Ganhui Lan",,2352-3409,0.93
Data in Brief,Data in Brief,Elsevier,"Hao-Ran Wang, Ganhui Lan",,2352-3409,0.93
Database (Oxford),Database: The Journal of Biological Databases and Curation,Oxford University Press,David Landsman,1758-0463,1758-0463,3.978
Deutsche Apotheker Zeitung,Deutsche Apotheker Zeitung,Deutsche Apotheker Verlag,"Armin Edalat, Doris Uhl", 0011-9857,,
Dev Immunol,Developmental & Comparative Immunology,,"K. Söderhäll, M. Belosevic",0145-305X,,3.119
Dev Psychol,Developmental Psychology,American Psychological Association ,Eric F. Dubow,0012-1649,1939-0599,2.934
Dev Reprod,Development & Reproduction,Korean Society of Developmental Biology,Jang-Soo Chun,2465-9541,2465-9525,
Dev World Bioeth,Developing World Bioethics,,"Debora Diniz, Udo Schüklenk",1471-8731,1471-8847,1.41
Diabetes,Diabetes Spectrum,American Diabetes Association,Martin G. Myers Jr.,0012-1797,1939-327X,7.273
Diabetes Spectr,Diabetes Spectrum,,,,,
Diagn Pathol,Diagnostic Pathology,,Dr. Anil Parwani,,1746-1596,2.211
Diagnosis,Diagnosis,De Gruyter,,2194-8011,2194-802X,
Diagnostics (Basel),Diagnostics,Multidisciplinary Digital Publishing Institute,Prof. Dr. Andreas Kjaer,2075-4418,2075-4418,2.489
